street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,missing
7129 SPRINGMONT DR,ELK GROVE,95758,CA,3,2,1716,Residential,2008-05-20,180400,38.417649,-121.420294,False
8284 RED FOX WAY,ELK GROVE,95758,CA,4,2,1685,Residential,2008-05-20,182000,38.417182,-121.397231,False
2219 EL CANTO CIR,RANCHO CORDOVA,95670,CA,4,2,1829,Residential,2008-05-20,184500,38.592383,-121.318669,False
8907 GEMWOOD WAY,ELK GROVE,95758,CA,3,2,1555,Residential,2008-05-20,185000,38.435471,-121.441173,False
5925 MALEVILLE AVE,CARMICHAEL,95608,CA,4,2,1120,Residential,2008-05-20,189000,38.666564,-121.325717,False
7031 CANEVALLEY CIR,CITRUS HEIGHTS,95621,CA,3,2,1137,Residential,2008-05-20,194000,38.718693,-121.303619,False
3949 WILDROSE WAY,SACRAMENTO,95826,CA,3,1,1174,Residential,2008-05-20,195000,38.543697,-121.366683,False
4437 MITCHUM CT,ANTELOPE,95843,CA,3,2,1393,Residential,2008-05-20,200000,38.704407,-121.36113,False
8151 QUAIL RIDGE CT,SACRAMENTO,95828,CA,3,2,1289,Residential,2008-05-20,205000,38.461296,-121.390858,False
4899 WIND CREEK DR,SACRAMENTO,95838,CA,4,2,1799,Residential,2008-05-20,205000,38.655887,-121.446119,False
6049 HAMBURG WAY,SACRAMENTO,95823,CA,4,3,1953,Residential,2008-05-20,205000,38.443253,-121.431992,False
4232 71ST ST,SACRAMENTO,95820,CA,2,1,723,Residential,2008-05-20,207000,38.536741,-121.42115,False
1889 COLD SPRINGS RD,PLACERVILLE,95667,CA,2,1,948,Residential,2008-05-20,211500,38.739774,-120.860243,False
5805 HIMALAYA WAY,CITRUS HEIGHTS,95621,CA,4,2,1578,Residential,2008-05-20,215000,38.696489,-121.328555,False
7944 SYLVAN OAK WAY,CITRUS HEIGHTS,95610,CA,3,2,1317,Residential,2008-05-20,215000,38.710388,-121.261096,False
6217 LEOLA WAY,SACRAMENTO,95824,CA,3,1,1360,Residential,2008-05-20,222381,38.513066,-121.451909,False
3035 BRUNNET LN,SACRAMENTO,95833,CA,3,2,1522,Residential,2008-05-20,225000,38.624762,-121.522775,False
3025 EL PRADO WAY,SACRAMENTO,95825,CA,4,2,1751,Residential,2008-05-20,225000,38.606603,-121.394147,False
9387 GRANITE FALLS CT,ELK GROVE,95624,CA,3,2,1465,Residential,2008-05-20,225000,38.419214,-121.348533,False
9257 CALDERA WAY,SACRAMENTO,95826,CA,4,2,1605,Residential,2008-05-20,228000,38.55821,-121.355022,False
441 ARLINGDALE CIR,RIO LINDA,95673,CA,4,2,1475,Residential,2008-05-20,229665,38.702893,-121.454949,False
2284 LOS ROBLES RD,MEADOW VISTA,95722,CA,3,1,1216,Residential,2008-05-20,230000,39.008159,-121.03623,False
8164 CHENIN BLANC LN,FAIR OAKS,95628,CA,2,2,1315,Residential,2008-05-20,230000,38.665644,-121.259969,False
4620 CHAMBERLIN CIR,ELK GROVE,95757,CA,3,2,1567,Residential,2008-05-20,230000,38.390557,-121.449805,False
5340 BIRK WAY,SACRAMENTO,95835,CA,3,2,1776,Residential,2008-05-20,234000,38.672495,-121.515251,False
51 ANJOU CIR,SACRAMENTO,95835,CA,3,2,2187,Residential,2008-05-20,235000,38.661658,-121.540633,False
2125 22ND AVE,SACRAMENTO,95822,CA,3,1,1291,Residential,2008-05-20,236250,38.534596,-121.493121,False
7344 BUTTERBALL WAY,SACRAMENTO,95842,CA,3,2,1503,Residential,2008-05-20,245000,38.699489,-121.361828,False
8219 GWINHURST CIR,SACRAMENTO,95828,CA,4,3,2491,Residential,2008-05-20,245000,38.459711,-121.384283,False
3240 S ST,SACRAMENTO,95816,CA,2,1,1269,Residential,2008-05-20,245000,38.562296,-121.467489,False
5706 GREENACRES WAY,ORANGEVALE,95662,CA,3,2,1176,Residential,2008-05-20,250000,38.669882,-121.213533,False
6900 LONICERA DR,ORANGEVALE,95662,CA,4,2,1456,Residential,2008-05-20,250000,38.692199,-121.250975,False
419 DAWNRIDGE RD,ROSEVILLE,95678,CA,3,2,1498,Residential,2008-05-20,250000,38.725283,-121.297953,False
5312 MARBURY WAY,ANTELOPE,95843,CA,3,2,1574,Residential,2008-05-20,255000,38.710221,-121.341651,False
6344 BONHAM CIR,CITRUS HEIGHTS,95610,CA,5,4,2085,Multi-Family,2008-05-20,256054,38.682358,-121.272876,False
8207 YORKTON WAY,SACRAMENTO,95829,CA,3,2,2170,Residential,2008-05-20,257729,38.45967,-121.360461,False
7922 MANSELL WAY,ELK GROVE,95758,CA,4,2,1595,Residential,2008-05-20,260000,38.409634,-121.410787,False
5712 MELBURY CIR,ANTELOPE,95843,CA,3,2,1567,Residential,2008-05-20,261000,38.705849,-121.334701,False
1570 GLIDDEN AVE,SACRAMENTO,95822,CA,4,2,1253,Residential,2008-05-20,264469,38.482704,-121.500433,False
8108 FILIFERA WAY,ANTELOPE,95843,CA,4,3,1768,Residential,2008-05-20,265000,38.717042,-121.35468,False
5342 CALABRIA WAY,SACRAMENTO,95835,CA,4,3,2030,Residential,2008-05-20,270000,38.671807,-121.498274,False
47 NAPONEE CT,SACRAMENTO,95835,CA,3,2,1531,Residential,2008-05-20,270000,38.665704,-121.529096,False
8864 REMBRANT CT,ELK GROVE,95624,CA,4,3,1653,Residential,2008-05-20,275000,38.435288,-121.375703,False
9455 SEA CLIFF WAY,ELK GROVE,95758,CA,4,2,2056,Residential,2008-05-20,275000,38.411522,-121.481406,False
9720 LITTLE HARBOR WAY,ELK GROVE,95624,CA,4,3,2494,Residential,2008-05-20,280000,38.404934,-121.352405,False
8806 PHOENIX AVE,FAIR OAKS,95628,CA,3,2,1450,Residential,2008-05-20,286013,38.660322,-121.230101,False
3578 LOGGERHEAD WAY,SACRAMENTO,95834,CA,4,2,2169,Residential,2008-05-20,292000,38.633028,-121.526755,False
1416 LOCKHART WAY,ROSEVILLE,95747,CA,3,2,1440,Residential,2008-05-20,292000,38.752399,-121.330328,False
5413 BUENA VENTURA WAY,FAIR OAKS,95628,CA,3,2,1527,Residential,2008-05-20,293993,38.664552,-121.255937,False
37 WHITE BIRCH CT,ROSEVILLE,95678,CA,3,2,1401,Residential,2008-05-20,294000,38.776327,-121.284514,False
405 MARLIN SPIKE WAY,SACRAMENTO,95838,CA,3,2,1411,Residential,2008-05-20,296769,38.65783,-121.456842,False
7320 6TH ST,RIO LINDA,95673,CA,3,1,1284,Residential,2008-05-20,300000,38.700553,-121.452223,False
993 MANTON CT,GALT,95632,CA,4,3,2307,Residential,2008-05-20,300000,38.272942,-121.289148,False
4487 PANORAMA DR,PLACERVILLE,95667,CA,3,2,1329,Residential,2008-05-20,300000,38.694559,-120.848157,False
5651 OVERLEAF WAY,SACRAMENTO,95835,CA,4,2,1910,Residential,2008-05-20,300500,38.677454,-121.494791,False
2015 PROMONTORY POINT LN,GOLD RIVER,95670,CA,3,2,1981,Residential,2008-05-20,305000,38.628732,-121.261149,False
8 RIVER RAFT CT,SACRAMENTO,95823,CA,4,2,2205,Residential,2008-05-20,319789,38.447353,-121.434969,False
2251 LAMPLIGHT LN,LINCOLN,95648,CA,2,2,1449,Residential,2008-05-20,330000,38.849924,-121.275729,False
106 FARHAM DR,FOLSOM,95630,CA,3,2,1258,Residential,2008-05-20,330000,38.667834,-121.168578,False
5405 NECTAR CIR,ELK GROVE,95757,CA,3,2,2575,Residential,2008-05-20,331000,38.387014,-121.440967,False
5411 10TH AVE,SACRAMENTO,95820,CA,2,1,539,Residential,2008-05-20,334000,38.542727,-121.442449,False
3512 RAINSONG CIR,RANCHO CORDOVA,95670,CA,4,3,2208,Residential,2008-05-20,336000,38.573488,-121.282809,False
1106 55TH ST,SACRAMENTO,95819,CA,3,1,1108,Residential,2008-05-20,339000,38.563805,-121.436395,False
411 ILLSLEY WAY,FOLSOM,95630,CA,4,2,1595,Residential,2008-05-20,339000,38.652002,-121.129504,False
796 BUTTERCUP CIR,GALT,95632,CA,4,2,2159,Residential,2008-05-20,345000,38.279581,-121.300828,False
1230 SANDRA CIR,PLACERVILLE,95667,CA,4,3,2295,Residential,2008-05-20,350000,38.738141,-120.784145,False
318 ANACAPA DR,ROSEVILLE,95678,CA,3,2,1838,Residential,2008-05-20,356000,38.782094,-121.297133,False
3975 SHINING STAR DR,SACRAMENTO,95823,CA,4,2,1900,Residential,2008-05-20,361745,38.487409,-121.461413,False
1620 BASLER ST,SACRAMENTO,95811,CA,4,2,1718,Residential,2008-05-20,361948,38.591822,-121.478644,False
9688 NATURE TRAIL WAY,ELK GROVE,95757,CA,5,3,3389,Residential,2008-05-20,370000,38.405224,-121.479275,False
9629 CEDAR OAK WAY,ELK GROVE,95757,CA,5,4,3260,Residential,2008-05-20,385000,38.405527,-121.431746,False
3429 FERNBROOK CT,CAMERON PARK,95682,CA,3,2,2016,Residential,2008-05-20,399000,38.664225,-121.007173,False
2121 HANNAH WAY,ROCKLIN,95765,CA,4,2,2607,Residential,2008-05-20,402000,38.805749,-121.280931,False
10104 ANNIE ST,ELK GROVE,95757,CA,4,3,2724,Residential,2008-05-20,406026,38.390465,-121.443479,False
1092 MAUGHAM CT,GALT,95632,CA,5,4,3746,Residential,2008-05-20,420000,38.271646,-121.286848,False
6306 CONEJO,RANCHO MURIETA,95683,CA,4,2,3192,Residential,2008-05-20,425000,38.512602,-121.087233,False
427 21ST ST,SACRAMENTO,95811,CA,2,1,1247,Residential,2008-05-20,445000,38.582604,-121.47576,False
1044 GALSTON DR,FOLSOM,95630,CA,4,2,2581,Residential,2008-05-20,450000,38.676306,-121.09954,False
4440 SYCAMORE AVE,SACRAMENTO,95841,CA,3,1,2068,Residential,2008-05-20,460000,38.646374,-121.353658,False
9760 LAZULITE CT,ELK GROVE,95624,CA,4,3,3992,Residential,2008-05-20,460000,38.403609,-121.335541,False
241 LANFRANCO CIR,SACRAMENTO,95835,CA,4,4,3397,Residential,2008-05-20,465000,38.665696,-121.549437,False
5559 NORTHBOROUGH DR,SACRAMENTO,95835,CA,5,3,3881,Residential,2008-05-20,471750,38.677225,-121.519687,False
2109 HAMLET PL,CARMICHAEL,95608,CA,2,2,1598,Residential,2008-05-20,484000,38.602754,-121.329326,False
9970 STATE HIGHWAY 193,PLACERVILLE,95667,CA,4,3,1929,Residential,2008-05-20,485000,38.787877,-120.816676,False
2901 PINTAIL WAY,ELK GROVE,95757,CA,4,3,3070,Residential,2008-05-20,495000,38.398488,-121.473424,False
7756 TIGERWOODS DR,SACRAMENTO,95829,CA,5,3,3984,Residential,2008-05-20,572500,38.47643,-121.309243,False
5709 RIVER OAK WAY,CARMICHAEL,95608,CA,4,2,2222,Residential,2008-05-20,582000,38.602461,-121.330979,False
2981 WRINGER DR,ROSEVILLE,95661,CA,4,3,3838,Residential,2008-05-20,613401,38.735373,-121.227072,False
4128 HILL ST,FAIR OAKS,95628,CA,5,5,2846,Residential,2008-05-20,680000,38.64167,-121.262099,False
1409 47TH ST,SACRAMENTO,95819,CA,5,2,2484,Residential,2008-05-20,699000,38.563244,-121.446876,False
3935 EL MONTE DR,LOOMIS,95650,CA,4,4,1624,Residential,2008-05-20,839000,38.813337,-121.133348,False
5840 WALERGA RD,SACRAMENTO,95842,CA,2,1,840,Condo,2008-05-19,40000,38.673678,-121.357471,False
923 FULTON AVE,SACRAMENTO,95825,CA,1,1,484,Condo,2008-05-19,48000,38.582279,-121.401482,False
261 REDONDO AVE,SACRAMENTO,95815,CA,3,1,970,Residential,2008-05-19,61500,38.620685,-121.460539,False
4030 BROADWAY,SACRAMENTO,95817,CA,2,1,623,Residential,2008-05-19,62050,38.546798,-121.460038,False
3660 22ND AVE,SACRAMENTO,95820,CA,2,1,932,Residential,2008-05-19,65000,38.532718,-121.46747,False
3924 HIGH ST,SACRAMENTO,95838,CA,2,1,796,Residential,2008-05-19,65000,38.638797,-121.435049,False
4734 14TH AVE,SACRAMENTO,95820,CA,2,1,834,Residential,2008-05-19,68000,38.539447,-121.450858,False
5050 RHODE ISLAND DR Unit 4,SACRAMENTO,95841,CA,2,1,924,Condo,2008-05-19,77000,38.658739,-121.333561,False
4513 GREENHOLME DR,SACRAMENTO,95842,CA,2,1,795,Condo,2008-05-19,82732,38.669104,-121.359008,False
3845 ELM ST,SACRAMENTO,95838,CA,3,1,1250,Residential,2008-05-19,84000,38.637337,-121.432835,False
3908 17TH AVE,SACRAMENTO,95820,CA,2,1,984,Residential,2008-05-19,84675,38.53728,-121.463531,False
7109 CHANDLER DR,SACRAMENTO,95828,CA,3,1,1013,Residential,2008-05-19,85000,38.497237,-121.424187,False
7541 SKELTON WAY,SACRAMENTO,95822,CA,3,1,1012,Residential,2008-05-19,90000,38.484274,-121.488851,False
9058 MONTOYA ST,SACRAMENTO,95826,CA,2,1,795,Condo,2008-05-19,90000,38.559144,-121.368387,False
1016 CONGRESS AVE,SACRAMENTO,95838,CA,2,2,918,Residential,2008-05-19,91000,38.630151,-121.442789,False
540 MORRISON AVE,SACRAMENTO,95838,CA,3,1,1082,Residential,2008-05-19,95000,38.637704,-121.453946,False
5303 JERRETT WAY,SACRAMENTO,95842,CA,2,1,964,Residential,2008-05-19,97500,38.663282,-121.359631,False
2820 DEL PASO BLVD,SACRAMENTO,95815,CA,4,2,1404,Multi-Family,2008-05-19,100000,38.617718,-121.440089,False
3715 TALLYHO DR Unit 78HIGH,SACRAMENTO,95826,CA,1,1,625,Condo,2008-05-19,100000,38.544627,-121.35796,False
6013 ROWAN WAY,CITRUS HEIGHTS,95621,CA,2,1,888,Residential,2008-05-19,101000,38.675893,-121.2963,False
2987 PONDEROSA LN,SACRAMENTO,95815,CA,4,2,1120,Residential,2008-05-19,102750,38.622243,-121.457863,False
3732 LANKERSHIM WAY,NORTH HIGHLANDS,95660,CA,3,1,1331,Residential,2008-05-19,112500,38.68972,-121.378399,False
2216 DUNLAP DR,SACRAMENTO,95821,CA,3,1,1014,Residential,2008-05-19,113000,38.623738,-121.41305,False
3503 21ST AVE,SACRAMENTO,95820,CA,4,2,1448,Residential,2008-05-19,114000,38.53361,-121.469308,False
523 EXCHANGE ST,SACRAMENTO,95838,CA,3,1,966,Residential,2008-05-19,114000,38.659414,-121.45408,False
8101 PORT ROYALE WAY,SACRAMENTO,95823,CA,2,1,779,Residential,2008-05-19,114750,38.463929,-121.438667,False
8020 WALERGA RD,ANTELOPE,95843,CA,2,2,836,Condo,2008-05-19,115000,38.71607,-121.364468,False
167 VALLEY OAK DR,ROSEVILLE,95678,CA,2,2,1100,Condo,2008-05-19,115000,38.732429,-121.288069,False
7876 BURLINGTON WAY,SACRAMENTO,95832,CA,3,1,1174,Residential,2008-05-19,116100,38.470093,-121.468347,False
3726 JONKO AVE,NORTH HIGHLANDS,95660,CA,3,2,1207,Residential,2008-05-19,119250,38.656131,-121.377265,False
7342 GIGI PL,SACRAMENTO,95828,CA,4,4,1995,Multi-Family,2008-05-19,120000,38.490704,-121.410176,False
2610 PHYLLIS AVE,SACRAMENTO,95820,CA,2,1,804,Residential,2008-05-19,120000,38.53105,-121.479574,False
4200 COMMERCE WAY Unit 711,SACRAMENTO,95834,CA,2,2,958,Condo,2008-05-19,120000,38.647523,-121.523217,False
4621 COUNTRY SCENE WAY,SACRAMENTO,95823,CA,3,2,1366,Residential,2008-05-19,120108,38.470187,-121.448149,False
5380 VILLAGE WOOD DR,SACRAMENTO,95823,CA,2,2,901,Residential,2008-05-19,121500,38.454949,-121.440578,False
2621 EVERGREEN ST,SACRAMENTO,95815,CA,3,1,696,Residential,2008-05-19,121725,38.613103,-121.444085,False
201 CARLO CT,GALT,95632,CA,3,2,1080,Residential,2008-05-19,122000,38.24227,-121.31032,False
6743 21ST ST,SACRAMENTO,95822,CA,3,2,1104,Residential,2008-05-19,123000,38.50372,-121.490657,False
3128 VIA GRANDE,SACRAMENTO,95825,CA,2,1,972,Residential,2008-05-19,125000,38.598321,-121.39161,False
2847 BELGRADE WAY,SACRAMENTO,95833,CA,4,2,1390,Residential,2008-05-19,125573,38.617173,-121.482541,False
7741 MILLDALE CIR,ELVERTA,95626,CA,4,2,1354,Residential,2008-05-19,126714,38.705834,-121.43919,False
9013 CASALS ST,SACRAMENTO,95826,CA,2,1,795,Condo,2008-05-19,126960,38.557045,-121.37167,False
227 MAHAN CT Unit 1,ROSEVILLE,95678,CA,2,1,780,Condo,2008-05-19,127000,38.749723,-121.27008,False
7349 FLETCHER FARM DR,SACRAMENTO,95828,CA,4,2,1587,Residential,2008-05-19,127500,38.49069,-121.382619,False
7226 LARCHMONT DR,NORTH HIGHLANDS,95660,CA,3,2,1209,Residential,2008-05-19,130000,38.699269,-121.376334,False
4114 35TH AVE,SACRAMENTO,95824,CA,2,1,1139,Residential,2008-05-19,133105,38.520941,-121.459355,False
617 M ST,RIO LINDA,95673,CA,2,2,1690,Residential,2008-05-19,136500,38.691104,-121.451832,False
7032 FAIR OAKS BLVD,CARMICHAEL,95608,CA,3,2,1245,Condo,2008-05-19,139500,38.628563,-121.328297,False
2421 SANTINA WAY,ELVERTA,95626,CA,3,2,1416,Residential,2008-05-19,140000,38.71865,-121.407763,False
2368 CRAIG AVE,SACRAMENTO,95832,CA,3,2,1300,Residential,2008-05-19,140800,38.47807,-121.48114,False
2123 AMANDA WAY,SACRAMENTO,95822,CA,3,2,1120,Residential,2008-05-19,145000,38.484896,-121.486948,False
7620 DARLA WAY,SACRAMENTO,95828,CA,4,2,1590,Residential,2008-05-19,147000,38.478502,-121.403517,False
8344 FIELDPOPPY CIR,SACRAMENTO,95828,CA,3,2,1407,Residential,2008-05-19,149600,38.479083,-121.400702,False
3624 20TH AVE,SACRAMENTO,95820,CA,5,2,1516,Residential,2008-05-19,150000,38.534508,-121.467907,False
2848 PROVO WAY,SACRAMENTO,95822,CA,3,2,1646,Residential,2008-05-19,150000,38.489759,-121.474754,False
6045 EHRHARDT AVE,SACRAMENTO,95823,CA,3,2,1676,Residential,2008-05-19,155000,38.457157,-121.433065,False
1223 LAMBERTON CIR,SACRAMENTO,95838,CA,3,2,1370,Residential,2008-05-19,155435,38.646677,-121.437573,False
1223 LAMBERTON CIR,SACRAMENTO,95838,CA,3,2,1370,Residential,2008-05-19,155500,38.646677,-121.437573,False
6000 BIRCHGLADE WAY,CITRUS HEIGHTS,95621,CA,4,2,1351,Residential,2008-05-19,158000,38.70166,-121.323249,False
7204 THOMAS DR,NORTH HIGHLANDS,95660,CA,3,2,1152,Residential,2008-05-19,158000,38.697898,-121.377687,False
8363 LANGTREE WAY,SACRAMENTO,95823,CA,3,2,1452,Residential,2008-05-19,160000,38.45356,-121.435959,False
1675 VERNON ST Unit 8,ROSEVILLE,95678,CA,2,1,990,Residential,2008-05-19,160000,38.734136,-121.299639,False
6632 IBEX WOODS CT,CITRUS HEIGHTS,95621,CA,2,2,1162,Residential,2008-05-19,164000,38.720868,-121.309855,False
117 EVCAR WAY,RIO LINDA,95673,CA,3,2,1182,Residential,2008-05-19,164000,38.687659,-121.4633,False
6485 LAGUNA MIRAGE LN,ELK GROVE,95758,CA,2,2,1112,Residential,2008-05-19,165000,38.42465,-121.430137,False
746 MOOSE CREEK WAY,GALT,95632,CA,3,2,1100,Residential,2008-05-19,167000,38.283085,-121.302071,False
8306 CURLEW CT,CITRUS HEIGHTS,95621,CA,4,2,1280,Residential,2008-05-19,167293,38.715781,-121.298519,False
5217 ARGO WAY,SACRAMENTO,95820,CA,3,1,1039,Residential,2008-05-19,168000,38.52774,-121.433669,False
7108 HEATHER TREE DR,SACRAMENTO,95842,CA,3,2,1159,Residential,2008-05-19,170000,38.695677,-121.36022,False
2956 DAVENPORT WAY,SACRAMENTO,95833,CA,4,2,1917,Residential,2008-05-19,170000,38.620687,-121.482619,False
10062 LINCOLN VILLAGE DR,SACRAMENTO,95827,CA,3,2,1520,Residential,2008-05-19,170000,38.564,-121.320023,False
332 PALIN AVE,GALT,95632,CA,3,2,1204,Residential,2008-05-19,174000,38.260467,-121.302636,False
4649 FREEWAY CIR,SACRAMENTO,95841,CA,3,2,1120,Residential,2008-05-19,178000,38.658734,-121.357196,False
8593 DERLIN WAY,SACRAMENTO,95823,CA,3,2,1436,Residential,2008-05-19,180000,38.447585,-121.426627,False
9273 PREMIER WAY,SACRAMENTO,95826,CA,3,2,1451,Residential,2008-05-19,180000,38.55992,-121.352539,False
8032 DUSENBERG CT,SACRAMENTO,95828,CA,4,2,1638,Residential,2008-05-19,180000,38.466499,-121.381119,False
7110 STELLA LN Unit 15,CARMICHAEL,95608,CA,2,2,1000,Condo,2008-05-19,182000,38.637396,-121.300055,False
1786 PIEDMONT WAY,ROSEVILLE,95661,CA,3,1,1152,Residential,2008-05-19,188325,38.72748,-121.256537,False
1347 HIDALGO CIR,ROSEVILLE,95747,CA,3,2,1154,Residential,2008-05-19,191500,38.747878,-121.311279,False
212 CAPPUCINO WAY,SACRAMENTO,95838,CA,3,2,1353,Residential,2008-05-19,192000,38.657811,-121.465327,False
5938 WOODBRIAR WAY,CITRUS HEIGHTS,95621,CA,3,2,1329,Residential,2008-05-19,192700,38.706152,-121.325399,False
3801 WILDROSE WAY,SACRAMENTO,95826,CA,3,1,1356,Residential,2008-05-19,195000,38.544368,-121.369979,False
508 SAMUEL WAY,SACRAMENTO,95838,CA,3,2,1505,Residential,2008-05-19,197654,38.645689,-121.452766,False
6128 CARL SANDBURG CIR,SACRAMENTO,95842,CA,3,1,1009,Residential,2008-05-19,198000,38.681541,-121.355616,False
1 KENNELFORD CIR,SACRAMENTO,95823,CA,3,2,1144,Residential,2008-05-19,200345,38.46452,-121.427606,False
909 SINGINGWOOD RD,SACRAMENTO,95864,CA,2,1,930,Residential,2008-05-19,203000,38.581471,-121.38839,False
6671 FOXWOOD CT,SACRAMENTO,95841,CA,4,2,1766,Residential,2008-05-19,207000,38.687943,-121.328883,False
8165 AYN RAND CT,SACRAMENTO,95828,CA,4,3,1940,Residential,2008-05-19,208000,38.468639,-121.403265,False
9474 VILLAGE TREE DR,ELK GROVE,95758,CA,4,2,1776,Residential,2008-05-19,210000,38.413947,-121.408276,False
7213 CALVIN DR,CITRUS HEIGHTS,95621,CA,3,1,1258,Residential,2008-05-19,212000,38.698154,-121.298375,False
8167 DERBY PARK CT,SACRAMENTO,95828,CA,4,2,1872,Residential,2008-05-19,213675,38.460492,-121.373379,False
6344 LAGUNA MIRAGE LN,ELK GROVE,95758,CA,2,2,1112,Residential,2008-05-19,213697,38.423963,-121.428875,False
2945 RED HAWK WAY,SACRAMENTO,95833,CA,4,2,1856,Residential,2008-05-19,215000,38.619675,-121.496903,False
3228 I ST,SACRAMENTO,95816,CA,4,3,1939,Residential,2008-05-19,215000,38.573844,-121.462839,False
308 ATKINSON ST,ROSEVILLE,95678,CA,3,1,998,Residential,2008-05-19,215100,38.746794,-121.29971,False
624 HOVEY WAY,ROSEVILLE,95678,CA,3,2,1758,Residential,2008-05-19,217500,38.756149,-121.306479,False
110 COPPER LEAF WAY,SACRAMENTO,95838,CA,3,2,2142,Residential,2008-05-19,218000,38.658466,-121.460661,False
7535 ALMA VISTA WAY,SACRAMENTO,95831,CA,2,1,950,Residential,2008-05-19,220000,38.48403,-121.507641,False
7423 WILSALL CT,ELK GROVE,95758,CA,4,3,1739,Residential,2008-05-19,221000,38.417026,-121.416821,False
8629 VIA ALTA WAY,ELK GROVE,95624,CA,3,2,1516,Residential,2008-05-19,222900,38.398245,-121.380615,False
3318 DAVIDSON DR,ANTELOPE,95843,CA,3,1,988,Residential,2008-05-19,223139,38.705753,-121.388917,False
913 COBDEN CT,GALT,95632,CA,4,2,1555,Residential,2008-05-19,225500,38.282001,-121.295902,False
4419 79TH ST,SACRAMENTO,95820,CA,3,2,1212,Residential,2008-05-19,228327,38.534827,-121.412545,False
3012 SPOONWOOD WAY,SACRAMENTO,95833,CA,4,2,1871,Residential,2008-05-19,230000,38.62478,-121.523474,False
8728 CRYSTAL RIVER WAY,SACRAMENTO,95828,CA,3,2,1302,Residential,2008-05-19,230000,38.47547,-121.380055,False
4709 AMBER LN Unit 1,SACRAMENTO,95841,CA,2,1,756,Condo,2008-05-19,230522,38.657789,-121.354994,False
4508 OLD DAIRY DR,ANTELOPE,95843,CA,4,3,2026,Residential,2008-05-19,231200,38.72286,-121.358939,False
312 RIVER ISLE WAY,SACRAMENTO,95831,CA,3,2,1375,Residential,2008-05-19,232000,38.49026,-121.550527,False
301 OLIVADI WAY,SACRAMENTO,95834,CA,2,2,1250,Condo,2008-05-19,232500,38.644406,-121.549049,False
5636 25TH ST,SACRAMENTO,95822,CA,3,1,1058,Residential,2008-05-19,233641,38.523828,-121.481139,False
8721 SPRUCE RIDGE WAY,ANTELOPE,95843,CA,3,2,1187,Residential,2008-05-19,234000,38.727657,-121.391028,False
7461 WINDBRIDGE DR,SACRAMENTO,95831,CA,2,2,1324,Residential,2008-05-19,234500,38.48797,-121.530229,False
